X,Y,OBJECTID,SNO,NAME,ALTERNATE_NAME,COMMUNITY,TYPE,RANKING,CLUSTER_AREA,HEIGHT_IN_M,WIDTH_IN_M,OWNERSHIP,ACCESS_FROM,LONGITUDE,LATITUDE
586171,4788545,30,81,East Iroquoia Falls,N/A,Hamilton,Waterfall,B,Chedoke-Scenic,20,1.2,public,Hwy 403,-79.93857605503914,43.24478309110776
599031,4784656,31,82,Veevers Falls,N/A,Hamilton,Cascade,C,Felker,14,2.5,private,Greenhill Ave.,-79.78090203240046,43.20819236184315
590022,4788461,35,113,Auchmar Falls,Upper Beckett Falls,Hamilton,Waterfall,C,Chedoke,12,1.5,public,Beckett Drive,-79.89116304154824,43.24357691086948
590452,4788610,37,99,Beckett Falls,Lower Beckett Falls,Hamilton,Waterfall,C,Chedoke,3,1.2,public,Beckett Drive,-79.88584309038085,43.244866900531335
598499,4784263,43,103,Heritage Green Falls,Taro Falls,Hamilton,Waterfall,B,Felker,12.2,1.8,public,Ackland Street,-79.78751973936322,43.204723876926955
596724,4783990,44,109,Middle Glendale Falls,N/A,Hamilton,Cascade,C,Red Hill,3.1,3.4,public,Bruce Trail,-79.80941235971785,43.202495565018346
598464,4784239,45,110,Mountain Spring Falls,N/A,Hamilton,Waterfall,B,Felker,15,2.4,public,Ackland Street,-79.7879547579588,43.20451237578572
596164,4783828,47,123,Pritchard Falls,N/A,Hamilton,Waterfall,C,Red Hill,4.5,1,public,Mountain Brow Blvd. / King's Forest Park,-79.81633222179092,43.2011086248597
595034,4782623,48,126,Billy Monkley Cascade,N/A,Hamilton,Cascade,C,Red Hill,3,6.4,public,Chippewa Rail Trail via Rymal Road/Billy Monkley Bird Sanctuary,-79.83044558432469,43.190403176771966
596170,4785287,49,122,Broman Falls,Coop's Falls,Hamilton,Waterfall,C,Red Hill,7,1.1,public,Bruce Trail Escarpment Rail Trail at Mohawk Sports Park,-79.8160043239796,43.214242999664556
595895,4783719,50,130,Baby Albion Falls,N/A,Hamilton,Waterfall,C,Red Hill,8.5,1,public,Mountain Brow Blvd. / King's Forest Park,-79.81966153077211,43.20016151951136
586016,4788500,56,80,West Iroquoia Falls,N/A,Hamilton,Waterfall,B,Chedoke-Scenic,19.8,1,public,Hwy 403,-79.94049199184443,43.24439564651954
586478,4788482,4,33,Scenic Falls,N/A,Hamilton,Cascade,A,Chedoke-Scenic,20,6,public,Scenic Dr. / Chedoke Radial Trail Head,-79.93480506087934,43.24418074609277
