X,Y,OBJECTID,SCHOOL_ID,NAME,ADDRESS,COMMUNITY,CATEGORY,LOWEST_GRADE,HIGHEST_GRADE,LANGUAGE,SCHOOL_BOARD,WEBSITE,COMMENTS,LONGITUDE,LATITUDE
591100.452499999664724,4784077.3385,18,31,St. Marguerite D'Youville Elementary School,20 Bonaparte Way,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.87860549686357,43.20398125067917
592533.915400000289083,4791354.342,20,119,St. Lawrence Elementary School,88 Macaulay Street East,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.8597427084532,43.26932131796197
595118.846099999733269,4786304.038499999791,21,136,St. Margaret Mary Elementary School,25 Brentwood Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.828767660345,43.22353244591759
590295.542700000107288,4789445.3728,22,159,St. Joseph Elementary School,270 Locke Street South,Hamilton,Elementary School,Kindergarten,8,French Immersion,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.88763305285096,43.25240651223177
587811.893500000238419,4785107.5954,23,135,St. Thomas More Secondary School,1045 Upper Paradise Road,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.91891476073636,43.213646410056754
596240.881299999542534,4788215.083399999887,24,149,Delta Secondary School,1284 Main Street East,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.81462108415528,43.24059491937942
594314.431599999777973,4785342.9743,25,104,Richard Beasley Elementary School,80 Currie Street,Hamilton,Elementary School,Kindergarten,5,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.83883492223438,43.21498106006422
592345.529900000430644,4791183.188699999824,26,116,Bennetto Elementary School,47 Simcoe Street East,Hamilton,Elementary School,Kindergarten,8,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.86209236354546,43.26780355874186
592466.416699999943,4790044.89599999972,27,68,Dr. J. Edgar Davey Elementary School,99 Ferguson Avenue North,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.8607941712719,43.25754080586308
591452.079599999822676,4790483.757699999958,28,75,Sir John A. Macdonald Secondary School,130 York Boulevard,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.87321576987785,43.26161561012727
597637.0592,4785864.980599999428,49,131,Elizabeth Bagshaw Elementary School,350 Albright Road,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.79784428457269,43.21925808628584
597829.806300000287592,4785770.6576,50,132,St. Luke Elementary School,345 Albright Road,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.79548831849547,43.21838395930296
595572.509999999776483,4786764.003299999982,51,134,Sherwood Secondary School,25 High Street,Hamilton,Secondary School,9,12,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.82310301684215,43.227616109235825
